,rank,song_title,artist,lytics_link
125,6,Consequences,Camila Cabello,http://web.archive.org/web/20180114125914/https://genius.com/Camila-cabello-consequences-lyrics
126,7,A Million Dreams,Ziv Zaifman,http://web.archive.org/web/20180114125914/https://genius.com/Ziv-zaifman-a-million-dreams-lyrics
127,8,Finesse (Remix),Bruno Mars,http://web.archive.org/web/20180114125914/https://genius.com/Bruno-mars-finesse-remix-lyrics
128,9,Too Good at Goodbyes,Sam Smith,http://web.archive.org/web/20180114125914/https://genius.com/Sam-smith-too-good-at-goodbyes-lyrics
129,10,The Greatest Show,Hugh Jackman,http://web.archive.org/web/20180114125914/https://genius.com/Hugh-jackman-the-greatest-show-lyrics
130,1,Man's Not Hot,Big Shaq,http://web.archive.org/web/20180114125914/https://genius.com/Big-shaq-mans-not-hot-lyrics
131,2,This Is Me,Keala Settle,http://web.archive.org/web/20180114125914/https://genius.com/Keala-settle-this-is-me-lyrics
132,3,River,Eminem,http://web.archive.org/web/20180114125914/https://genius.com/Eminem-river-lyrics
133,4,Rewrite the Stars,Zac Efron,http://web.archive.org/web/20180114125914/https://genius.com/Zac-efron-rewrite-the-stars-lyrics
134,5,End Game,Taylor Swift,http://web.archive.org/web/20180114125914/https://genius.com/Taylor-swift-end-game-lyrics
135,6,Consequences,Camila Cabello,http://web.archive.org/web/20180114125914/https://genius.com/Camila-cabello-consequences-lyrics
136,7,A Million Dreams,Ziv Zaifman,http://web.archive.org/web/20180114125914/https://genius.com/Ziv-zaifman-a-million-dreams-lyrics
137,8,Finesse (Remix),Bruno Mars,http://web.archive.org/web/20180114125914/https://genius.com/Bruno-mars-finesse-remix-lyrics
138,9,Too Good at Goodbyes,Sam Smith,http://web.archive.org/web/20180114125914/https://genius.com/Sam-smith-too-good-at-goodbyes-lyrics
139,10,The Greatest Show,Hugh Jackman,http://web.archive.org/web/20180114125914/https://genius.com/Hugh-jackman-the-greatest-show-lyrics
140,1,Man's Not Hot,Big Shaq,http://web.archive.org/web/20180116041245/https://genius.com/Big-shaq-mans-not-hot-lyrics
141,2,This Is Me,Keala Settle,http://web.archive.org/web/20180116041245/https://genius.com/Keala-settle-this-is-me-lyrics
142,3,Rewrite the Stars,Zac Efron,http://web.archive.org/web/20180116041245/https://genius.com/Zac-efron-rewrite-the-stars-lyrics
143,4,River,Eminem,http://web.archive.org/web/20180116041245/https://genius.com/Eminem-river-lyrics
144,5,A Million Dreams,Ziv Zaifman,http://web.archive.org/web/20180116041245/https://genius.com/Ziv-zaifman-a-million-dreams-lyrics
145,6,Finesse (Remix),Bruno Mars,http://web.archive.org/web/20180116041245/https://genius.com/Bruno-mars-finesse-remix-lyrics
146,7,The Greatest Show,Hugh Jackman,http://web.archive.org/web/20180116041245/https://genius.com/Hugh-jackman-the-greatest-show-lyrics
147,8,KEKE,6IX9INE,http://web.archive.org/web/20180116041245/https://genius.com/6ix9ine-keke-lyrics
148,9,Never Enough,Loren Allred,http://web.archive.org/web/20180116041245/https://genius.com/Loren-allred-never-enough-lyrics
149,10,Too Good at Goodbyes,Sam Smith,http://web.archive.org/web/20180116041245/https://genius.com/Sam-smith-too-good-at-goodbyes-lyrics
